"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.1793978935207e-06,6.095820707781,0.033,0.003,0.0567586111951316,"0","AT3G05730"
3.74131186848775e-06,1.9308124732586,0.183,0.116,0.0667898994762433,"0","PSAN"
4.81700167792101e-06,2.44957821392843,0.084,0.032,0.0859931139542459,"0","ARAB-1"
5.9664293679438e-06,1.67515190693286,0.211,0.145,0.106512697076533,"0","DRT112"
6.77808767436229e-06,1.04758125627654,0.005,0.046,0.121002421162716,"0","GRXS17"
1.10173005587463e-05,1.76089013017063,0.163,0.099,0.196680849574739,"0","LHCB2.2"
1.11515294080526e-05,2.63272944587522,0.084,0.034,0.199077102992554,"0","AGT"
1.30277624074485e-05,1.19613592947209,0.295,0.239,0.23257161449777,"0","LHCA4"
2.34047144550803e-05,1.03969674208109,0.01,0.053,0.417820962452093,"0","BAM1.1"
2.50325224775752e-05,1.20896990028262,0.031,0.089,0.446880591269673,"0","KASI"
3.06988419758348e-05,1.18490291913472,0.009,0.048,0.548035726952603,"0","RACK1C-AT"
4.20050166132688e-05,1.45402005547776,0.252,0.2,0.749873556580075,"0","PSAF"
4.37676865371321e-05,1.03215818522956,0.014,0.057,0.781340740060883,"0","AT3G04600"
4.4399240349244e-05,1.12658224109856,0.012,0.054,0.792615238714704,"0","RPS19"
0.000103532403070853,1.53450966248729,0.007,0.041,1,"0","ASN2"
0.000130725880462536,1.48189455397803,0.017,0.059,1,"0","MYA2"
0.000151692549645925,1.85025934526751,0.231,0.188,1,"0","AT2G45180"
0.000185357253739254,1.01840235998043,0.015,0.055,1,"0","PLDGAMMA2"
0.000188723594552989,1.38176000484169,0.248,0.205,1,"0","LHCB6"
0.000201739234927242,1.33735401536273,0.012,0.048,1,"0","UCH2"
0.000218194593594035,1.25522496487312,0.019,0.06,1,"0","PAHX"
0.000235918177289797,1.03533207297104,0.027,0.074,1,"0","AT3G47910"
0.00024421737533117,1.2314456205564,0.022,0.065,1,"0","HA11"
3.78208806970126e-54,1.47851149400404,0.619,0.185,6.75178362203069e-50,"1","ICL"
6.55881405640218e-51,1.64525902511838,0.463,0.099,1.17087948534892e-46,"1","FSD1"
3.48005996792498e-44,1.57045113650305,0.383,0.075,6.21260305473967e-40,"1","MLS"
9.74947008142677e-42,1.32105836911609,0.52,0.165,1.74047539893631e-37,"1","CP29"
4.46487145269147e-41,2.12020818524664,0.253,0.027,7.97068851734481e-37,"1","PORA"
3.9438729678686e-40,1.2448423993861,0.548,0.189,7.04060202223902e-36,"1","PCK1"
4.03414325389834e-40,1.17836513191454,0.522,0.147,7.20175253685931e-36,"1","PORB"
8.64051223245069e-38,2.04009632766954,0.319,0.064,1.5425042437371e-33,"1","RPL12-C"
9.40507422313126e-37,1.12367552338148,0.551,0.186,1.67899385031339e-32,"1","CWLP"
2.82454084203136e-36,1.56001724316393,0.407,0.115,5.04237031119438e-32,"1","CPN60B"
8.68446363752007e-32,1.97082799524474,0.22,0.03,1.55035044857008e-27,"1","AT2G47780"
2.56172137732958e-31,1.17178924199679,0.359,0.09,4.57318500280876e-27,"1","FBA2"
1.11192490807569e-30,1.87035772947718,0.227,0.035,1.98500834589672e-26,"1","RPS17"
6.3339395932078e-29,1.33651049151342,0.274,0.057,1.13073489617946e-24,"1","GDCH"
7.5172079750887e-29,1.23550846118752,0.322,0.083,1.34197196771283e-24,"1","RPL12-A"
4.50919554968342e-28,1.00104470071103,0.433,0.142,8.04981589529484e-24,"1","AT4G01150"
5.71348263154609e-28,1.33626652946885,0.3,0.076,1.01997091938361e-23,"1","FD1"
5.66278722543562e-26,1.1891536680919,0.326,0.095,1.01092077548477e-21,"1","RPL21C"
4.59722220389085e-25,1.21980831757895,0.253,0.057,8.20696107838595e-21,"1","PRK"
7.64153247954049e-25,1.16509297194675,0.241,0.052,1.36416637824757e-20,"1","emb2184"
2.1924239333945e-24,1.09251970957379,0.35,0.113,3.91391520589586e-20,"1","AT4G01310"
